numero_de_cliente	prob
29183733	
29184468	
29185245	
29186441	0.000440728892431269
29186475	
29187730	0.00010784212522723
29187764	
29187961	0.000376689427717739
29189899	
29189993	
29190113	
29192179	
29193101	0.0003054222295431
29193281	0.000179315205961303
29193324	
29195356	
29195433	
29196099	
29196902	
29198055	
29198891	0.000764824211673634
29199242	
29200335	
29200343	
29200514	
29200651	0.00430730619079911
29200727	
29200770	7.41843026190666e-05
29200984	
29201086	
29201359	
29201599	
29201701	0.00017584285480083
29201897	
29202119	
29202512	
29203324	
29203657	
29204767	
29205228	
29205441	0.0959782776228679
29205663	
29205988	
29206065	
29206586	
29207790	0.000573116083035864
29207901	0.0022115086635099
29208268	
29208439	
29210856	
29211778	
29211889	
29213699	
29214032	
29214434	
29215330	7.07126235990652e-05
29215595	
29215689	
29216697	
29216714	
29217414	
29217500	0.000324237652676404
29217713	
29217944	
29218080	0.000503427634502515
29218302	
29218635	
29219250	0.000118855750060873
29220036	
29220198	
29220335	
29220659	
29220873	
29221163	
29223409	
29223674	
29224049	
29224058	
29224485	
29225467	
29225834	
29226090	0.000202463013430331
29226475	
29226748	
29227226	
29227628	
29228003	
29229122	
29229250	0.00136939517183811
29231155	
29231727	
29233708	
29233896	
29234058	
29234425	
29234519	
29235194	
29236620	8.72675398030036e-05
29236868	
29237004	
29237056	
29239062	
29239079	
29239233	
29239276	
29239908	
29240027	
29240386	
29240668	
29240787	
29241428	
29241462	
29241599	
29241804	
29242914	
29243631	0.000125019388212664
29244366	
29247636	
29247850	0.000999616002081208
29248448	
29248729	
29249609	
29250062	
29250864	
29251231	0.00288453031310449
29251667	
29251718	
29251906	
29251923	
29252085	
29252273	
29252564	
29252606	
29253033	
29255296	
29255493	
29255740	0.000108225192819816
29256612	
29257551	0.000116351022965931
29257790	0.000121249357635252
29257867	
29258584	
29258593	
29259199	
29261565	
29263887	
29264673	
29264904	
29266022	
29266637	
29267141	0.000221204251349298
29267243	
29267295	
29267927	
29268328	
29268644	
29269327	
29269464	
29269677	
29270813	
29271488	
29271838	
29273315	
29273998	
29274460	0.000844308759593572
29276424	
29276646	
29276723	
29277081	0.00164785389168759
29277175	
29278567	
29278653	
29279088	
29279276	
29279823	
29280292	
29280480	0.00191508917820154
29280890	0.224801148189696
29281095	
29281616	
29281889	
29282197	
29283110	9.39894840087197e-05
29283409	
29283563	
29284246	
29284331	0.00121684812915993
29284665	
29286091	0.000689412813816828
29287807	
29287816	
29287875	
29288251	0.00178884402864917
29289361	0.00058858655195314
29290215	
29290583	
29291607	
29292034	
29292094	
29292171	0.0014093468427307
29292180	0.22507997049671
29292453	
29292846	
29293298	
29294255	
29295356	
29295519	
29295903	
29295980	0.000170015039636971
29296168	
29297201	0.000658481664329895
29297517	
29297636	
29297679	
29298379	
29298396	
29298431	0.00136341592935653
29299635	
29300318	
29300335	
29300881	0.000164050061795882
29300941	0.000139168987187161
29301539	
29301872	
29302760	0.000102843676039968
29303076	
29304084	
29304511	0.00222917372628133
29304673	
29305083	
29305638	
29305809	
29306825	
29306859	
29307013	
29307739	
29309353	
29309609	
29309823	
29314682	
29314912	
29315442	
29315630	0.000699442195838451
29316236	
29316458	
29316595	
29317022	
29319353	
29319447	
29320728	
29320873	
29321087	
29321104	
29321163	
29322410	0.000426240440442329
29323725	
29323845	
29324537	
29324588	
29324759	
29325391	0.0017911369461449
29326526	
29326629	
29330267	
29331172	
29331548	
29332120	7.12654829549909e-05
29333982	
29334332	
29334690	8.00762983124645e-05
29334750	9.99335837636924e-05
29336236	
29336245	
29336586	
29336595	
29336825	
29336868	
29337013	
29337543	
29338004	
29338140	4.8706457585584e-05
29339037	
29339652	
29340822	
29342709	
29343486	
29343597	
29344204	
29344588	
29344682	
29344716	
29344801	0.00011465770402427
29344861	0.000827061226325516
29345288	
29345860	0.00517155965529276
29346321	8.41103596560199e-05
29346509	
29346748	
29346800	0.000420760265221802
29347526	
29347841	0.000104695969748913
29347901	0.000212804718233356
29347918	
29347978	
29348209	
29348781	9.94390946336125e-05
29348875	
29350813	
29351010	0.00021431268653419
29351309	
29351317	
29351565	
29351719	
29351906	
29352718	
29352931	9.93665034797176e-05
29353939	
29354195	
29354605	
29354904	
29355408	
29355416	
29356458	
29356928	
29357321	0.00416715275862547
29357816	
29359686	
29360198	
29360976	
29361146	
29361334	
29361420	0.000159320625517712
29361471	5.97828013296718e-05
29361924	
29361966	
29362163	
29362581	7.78199039466905e-05
29362871	0.00693191866604606
29363051	0.000199107944841805
29363973	
29364417	
29364596	
29365083	
29365245	
29365502	
29366432	
29366552	
29367005	
29367201	0.000603335995859464
29367321	0.00590103470091068
29367645	
29368585	
29368909	
29370130	0.000667232906724079
29370327	
29370668	
29371497	
29372069	
29372086	
29372146	
29372974	
29374204	
29375271	0.000754589042863251
29375374	
29377483	
29377602	
29377799	
29377867	
29378508	
29378593	
29378875	
29380275	
29382060	0.0127982697137459
29382069	
29382718	
29383102	
29385365	
29385604	
29386373	
29388363	
29389054	
29389293	
29389447	
29389550	0.0023639557938585
29389584	
29389626	
29389891	0.000167983296915303
29390318	
29391044	
29391070	0.00153620220067123
29391317	
29391445	
29391591	0.000415590393455641
29392137	
29392769	
29393068	
29393401	0.000617879811693559
29393589	
29395297	
29395664	
29396646	
29397406	
29397944	
29399259	
29400088	
29400771	0.000128267488007956
29401360	0.000114484694630932
29401565	
29401915	
29402778	
29402820	0.000709553234251845
29403930	0.000161978656519362
29404426	
29404571	0.000140429611458119
29404947	
29405297	
29405519	
29406168	
29406356	
29407073	
29407773	
29407919	
29408790	8.00935932691287e-05
29408892	
29409661	0.000130606890639381
29410352	
29410762	
29411309	
29411411	0.000289320133139917
29411428	
29411932	
29412205	
29412214	
29412248	
29412684	
29412743	
29413051	0.000750872747855453
29413307	
29413760	0.000324343419312236
29413785	
29413965	
29414921	9.48066322032627e-05
29415169	
29415186	
29415570	0.0108337764023057
29416492	
29416527	
29417005	
29417030	0.000321012528453959
29417517	
29417526	
29417936	
29418815	
29419968	
29420233	
